country,vaccine,multilateral_agreement,donations,covax,unknown,total
Chile,Unknown,(Blank),(Blank),(Blank),"11,826,042","11,826,042"
Chile,Sinovac - CoronaVac,"10,419,800",(Blank),(Blank),(Blank),"10,419,800"
Chile,AstraZeneca - Vaxzevria,"204,000",(Blank),"489,600",(Blank),"693,600"
Chile,CanSino - Ad5-nCOV,"575,908",(Blank),(Blank),(Blank),"575,908"
Chile,Pfizer BioNTech - Comirnaty,"272,000",(Blank),(Blank),(Blank),"272,000"
Colombia,Unknown,(Blank),(Blank),(Blank),"16,956,501","16,956,501"
Colombia,AstraZeneca - Vaxzevria,"244,800",(Blank),"2,066,400",(Blank),"2,311,200"
Colombia,Pfizer BioNTech - Comirnaty,"343,670",(Blank),"1,209,780",(Blank),"1,553,450"
Colombia,Sinovac - CoronaVac,"1,239,880",(Blank),(Blank),(Blank),"1,239,880"
Colombia,Janssen - Ad26.COV 2.S,"480,000",(Blank),(Blank),(Blank),"480,000"
Republic of Korea,Unknown,(Blank),(Blank),(Blank),"15,984,140","15,984,140"
Republic of Korea,Pfizer BioNTech - Comirnaty,"1,088,000",(Blank),"414,180",(Blank),"1,502,180"
Republic of Korea,Vaxzevria,"1,500,000",(Blank),(Blank),(Blank),"1,500,000"
Republic of Korea,AstraZeneca - Vaxzevria,(Blank),(Blank),"1,267,200",(Blank),"1,267,200"
Republic of Korea,Janssen - Ad26.COV 2.S,(Blank),"1,013,000",(Blank),(Blank),"1,013,000"
Republic of Korea,Moderna - mRNA-1273,"55,000",(Blank),(Blank),(Blank),"55,000"
Pakistan,Unknown,(Blank),(Blank),(Blank),"10,660,346","10,660,346"
Pakistan,Sinovac - CoronaVac,"3,500,000",(Blank),(Blank),(Blank),"3,500,000"
Pakistan,Sinopharm (Beijing) - BBIBP-CorV,"1,500,000","1,500,000",(Blank),(Blank),"3,000,000"
Pakistan,Moderna - mRNA-1273,(Blank),(Blank),"2,500,000",(Blank),"2,500,000"
Pakistan,AstraZeneca - Vaxzevria,(Blank),(Blank),"1,238,400",(Blank),"1,238,400"
Pakistan,CanSino - Ad5-nCOV,"180,000",(Blank),(Blank),(Blank),"180,000"
Pakistan,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Pakistan,Gamaleya - Sputnik V,"50,000",(Blank),(Blank),(Blank),"50,000"
Morocco,Unknown,(Blank),(Blank),(Blank),"8,300,988","8,300,988"
Morocco,SII - Covishield,"7,000,000",(Blank),(Blank),(Blank),"7,000,000"
Morocco,Sinopharm (Beijing) - BBIBP-CorV,"4,000,000",(Blank),(Blank),(Blank),"4,000,000"
Morocco,AstraZeneca - Vaxzevria,(Blank),(Blank),"957,600",(Blank),"957,600"
Saudi Arabia,Unknown,(Blank),(Blank),(Blank),"15,699,493","15,699,493"
Saudi Arabia,SII - Covishield,"3,000,000",(Blank),(Blank),(Blank),"3,000,000"
Saudi Arabia,AstraZeneca - Vaxzevria,(Blank),(Blank),"892,800",(Blank),"892,800"
Saudi Arabia,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"279,630",(Blank),"279,630"
Netherlands,Pfizer BioNTech - Comirnaty,"12,678,120",(Blank),(Blank),(Blank),"12,678,120"
Netherlands,AstraZeneca - Vaxzevria,"3,615,400",(Blank),(Blank),(Blank),"3,615,400"
Netherlands,Moderna - mRNA-1273,"1,749,600",(Blank),(Blank),(Blank),"1,749,600"
Netherlands,Janssen - Ad26.COV 2.S,"1,221,600",(Blank),(Blank),(Blank),"1,221,600"
Hungary,Pfizer BioNTech - Comirnaty,"6,107,400",(Blank),(Blank),(Blank),"6,107,400"
Hungary,Sinopharm (Beijing) - BBIBP-CorV,"5,187,056",(Blank),(Blank),(Blank),"5,187,056"
Hungary,AstraZeneca - Vaxzevria,"2,293,900",(Blank),(Blank),(Blank),"2,293,900"
