country,vaccine,multilateral_agreement,donations,covax,unknown,total
Algeria,SII - Covishield,"50,000",(Blank),(Blank),(Blank),"50,000"
Sri Lanka,Sinopharm (Beijing) - BBIBP-CorV,"1,000,000","1,100,000",(Blank),(Blank),"2,100,000"
Sri Lanka,SII - Covishield,"500,000","500,000","264,000",(Blank),"1,264,000"
Sri Lanka,Gamaleya - Sputnik V,"115,000",(Blank),(Blank),(Blank),"115,000"
Qatar,Unknown,(Blank),(Blank),(Blank),"3,276,416","3,276,416"
Qatar,AstraZeneca - Vaxzevria,(Blank),(Blank),"74,400",(Blank),"74,400"
Honduras,Moderna - mRNA-1273,(Blank),(Blank),"1,500,000",(Blank),"1,500,000"
Honduras,Unknown,(Blank),(Blank),(Blank),"903,581","903,581"
Honduras,AstraZeneca - Vaxzevria,(Blank),(Blank),"424,800",(Blank),"424,800"
Honduras,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"212,940",(Blank),"212,940"
Angola,Unknown,(Blank),(Blank),(Blank),"1,248,460","1,248,460"
Angola,SII - Covishield,(Blank),(Blank),"1,119,000",(Blank),"1,119,000"
Angola,Sinopharm (Beijing) - BBIBP-CorV,"40,000","200,000",(Blank),(Blank),"240,000"
Angola,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Angola,Gamaleya - Sputnik V,(Blank),"25,000",(Blank),(Blank),"25,000"
Tunisia,Unknown,(Blank),(Blank),(Blank),"1,728,431","1,728,431"
Tunisia,Pfizer BioNTech - Comirnaty,"84,000",(Blank),"347,490",(Blank),"431,490"
Tunisia,AstraZeneca - Vaxzevria,(Blank),(Blank),"256,800",(Blank),"256,800"
Tunisia,Sinovac - CoronaVac,(Blank),"100,000",(Blank),(Blank),"100,000"
Tunisia,Gamaleya - Sputnik V,"30,000",(Blank),(Blank),(Blank),"30,000"
Ethiopia,SII - Covishield,(Blank),(Blank),"2,184,000",(Blank),"2,184,000"
Ethiopia,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"300,000",(Blank),(Blank),"300,000"
Kuwait,Unknown,(Blank),(Blank),(Blank),"1,637,455","1,637,455"
Kuwait,SII - Covishield,"588,000",(Blank),(Blank),(Blank),"588,000"
Kuwait,Pfizer BioNTech - Comirnaty,"150,000",(Blank),"35,100",(Blank),"185,100"
Bahrain,Unknown,(Blank),(Blank),(Blank),"1,754,001","1,754,001"
Bahrain,Sinopharm (Beijing) - BBIBP-CorV,"300,000",(Blank),(Blank),(Blank),"300,000"
Bahrain,SII - Covishield,(Blank),"100,000",(Blank),(Blank),"100,000"
Bahrain,AstraZeneca - Vaxzevria,(Blank),(Blank),"62,400",(Blank),"62,400"
Bahrain,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"7,020",(Blank),"7,020"
Ghana,SII - Covishield,"2,000","215,000","950,000",(Blank),"1,167,000"
Ghana,Unknown,(Blank),(Blank),(Blank),"1,023,677","1,023,677"
Ghana,Gamaleya - Sputnik V,"21,000",(Blank),(Blank),(Blank),"21,000"
Slovenia,Pfizer BioNTech - Comirnaty,"1,117,350",(Blank),(Blank),(Blank),"1,117,350"
Slovenia,AstraZeneca - Vaxzevria,"667,200",(Blank),(Blank),(Blank),"667,200"
Slovenia,Moderna - mRNA-1273,"194,400",(Blank),(Blank),(Blank),"194,400"
Slovenia,Janssen - Ad26.COV 2.S,"81,600",(Blank),(Blank),(Blank),"81,600"
Uganda,SII - Covishield,(Blank),"100,000","864,000",(Blank),"964,000"
Uganda,Unknown,(Blank),(Blank),(Blank),"890,902","890,902"
Uganda,AstraZeneca - Vaxzevria,(Blank),(Blank),"175,200",(Blank),"175,200"
Lao People's Democratic Republic,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"1,602,000",(Blank),(Blank),"1,602,000"
Lao People's Democratic Republic,SII - Covishield,(Blank),(Blank),"132,000",(Blank),"132,000"
Lao People's Democratic Republic,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Kenya,SII - Covishield,(Blank),"100,000","1,092,000",(Blank),"1,192,000"
Kenya,AstraZeneca - Vaxzevria,(Blank),"358,700","182,400",(Blank),"541,100"
Guatemala,AstraZeneca - Vaxzevria,(Blank),(Blank),"724,800",(Blank),"724,800"
Guatemala,Unknown,(Blank),(Blank),(Blank),"470,183","470,183"
Guatemala,Gamaleya - Sputnik V,"300,000",(Blank),(Blank),(Blank),"300,000"
Guatemala,SII - Covishield,(Blank),"200,000",(Blank),(Blank),"200,000"
Afghanistan,SII - Covishield,(Blank),"500,000","468,000",(Blank),"968,000"
Afghanistan,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"700,000",(Blank),(Blank),"700,000"
Iraq,AstraZeneca - Vaxzevria,(Blank),(Blank),"835,200",(Blank),"835,200"
Iraq,Sinopharm (Beijing) - BBIBP-CorV,"500,000","250,000",(Blank),(Blank),"750,000"
Iraq,Pfizer BioNTech - Comirnaty,"50,000",(Blank),(Blank),(Blank),"50,000"
Lebanon,Unknown,(Blank),(Blank),(Blank),"895,789","895,789"
Lebanon,Pfizer BioNTech - Comirnaty,"395,460",(Blank),(Blank),(Blank),"395,460"
Lebanon,AstraZeneca - Vaxzevria,(Blank),(Blank),"163,200",(Blank),"163,200"
Lebanon,Gamaleya - Sputnik V,"50,000",(Blank),(Blank),(Blank),"50,000"
Lebanon,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"50,000",(Blank),(Blank),"50,000"
Latvia,Pfizer BioNTech - Comirnaty,"881,595",(Blank),(Blank),(Blank),"881,595"
Latvia,AstraZeneca - Vaxzevria,"332,600",(Blank),(Blank),(Blank),"332,600"
Latvia,Moderna - mRNA-1273,"259,200",(Blank),(Blank),(Blank),"259,200"
Latvia,Janssen - Ad26.COV 2.S,"76,600",(Blank),(Blank),(Blank),"76,600"
Venezuela (Bolivarian Republic of),Unknown,(Blank),(Blank),(Blank),"686,988","686,988"
Venezuela (Bolivarian Republic of),Sinopharm (Beijing) - BBIBP-CorV,(Blank),"500,000",(Blank),(Blank),"500,000"
Venezuela (Bolivarian Republic of),Gamaleya - Sputnik V,"280,000",(Blank),(Blank),(Blank),"280,000"
Côte d'Ivoire,Unknown,(Blank),(Blank),(Blank),"747,907","747,907"
Côte d'Ivoire,SII - Covishield,(Blank),"50,000","504,000",(Blank),"554,000"
Côte d'Ivoire,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Zimbabwe,Sinopharm (Beijing) - BBIBP-CorV,"644,000","400,000",(Blank),(Blank),"1,044,000"
Zimbabwe,Sinovac - CoronaVac,"200,000",(Blank),(Blank),(Blank),"200,000"
Zimbabwe,SII - Covishield,(Blank),"35,000",(Blank),(Blank),"35,000"
Zimbabwe,Gamaleya - Sputnik V,(Blank),"25,000",(Blank),(Blank),"25,000"
Oman,Unknown,(Blank),(Blank),(Blank),"712,204","712,204"
Oman,Pfizer BioNTech - Comirnaty,"252,600",(Blank),"102,960",(Blank),"355,560"
Oman,AstraZeneca - Vaxzevria,(Blank),(Blank),"132,000",(Blank),"132,000"
Oman,SII - Covishield,(Blank),"100,000",(Blank),(Blank),"100,000"
Rwanda,Unknown,(Blank),(Blank),(Blank),"528,569","528,569"
Rwanda,SII - Covishield,(Blank),"50,000","370,000",(Blank),"420,000"
Rwanda,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"203,580",(Blank),"203,580"
Rwanda,AstraZeneca - Vaxzevria,(Blank),(Blank),"117,600",(Blank),"117,600"
New Zealand,Unknown,(Blank),(Blank),(Blank),"1,149,608","1,149,608"
New Zealand,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Estonia,Pfizer BioNTech - Comirnaty,"682,110",(Blank),(Blank),(Blank),"682,110"
Estonia,AstraZeneca - Vaxzevria,"369,600",(Blank),(Blank),(Blank),"369,600"
Estonia,Moderna - mRNA-1273,"121,200",(Blank),(Blank),(Blank),"121,200"
Estonia,Janssen - Ad26.COV 2.S,"31,600",(Blank),(Blank),(Blank),"31,600"
West Bank and Gaza,Unknown,(Blank),(Blank),(Blank),"759,480","759,480"
West Bank and Gaza,AstraZeneca - Vaxzevria,(Blank),(Blank),"168,000",(Blank),"168,000"
West Bank and Gaza,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"140,400",(Blank),"140,400"
West Bank and Gaza,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"100,000",(Blank),(Blank),"100,000"
West Bank and Gaza,SII - Covishield,"25,000",(Blank),(Blank),(Blank),"25,000"
West Bank and Gaza,Gamaleya - Sputnik V,(Blank),"2,000",(Blank),(Blank),"2,000"
West Bank and Gaza,Moderna - mRNA-1273,(Blank),"2,000",(Blank),(Blank),"2,000"
Cyprus,Pfizer BioNTech - Comirnaty,"631,785",(Blank),(Blank),(Blank),"631,785"
Cyprus,AstraZeneca - Vaxzevria,"290,700",(Blank),(Blank),(Blank),"290,700"
Cyprus,Sinovac - CoronaVac,(Blank),"146,000",(Blank),(Blank),"146,000"
Cyprus,Moderna - mRNA-1273,"88,800",(Blank),(Blank),(Blank),"88,800"
Cyprus,Janssen - Ad26.COV 2.S,"32,700",(Blank),(Blank),(Blank),"32,700"
Albania,Unknown,(Blank),(Blank),(Blank),"499,321","499,321"
Albania,Sinovac - CoronaVac,"352,000",(Blank),(Blank),(Blank),"352,000"
Albania,AstraZeneca - Vaxzevria,(Blank),(Blank),"120,000",(Blank),"120,000"
Albania,Gamaleya - Sputnik V,"50,000","10,000",(Blank),(Blank),"60,000"
Albania,SII - Covishield,(Blank),"50,000",(Blank),(Blank),"50,000"
Albania,Pfizer BioNTech - Comirnaty,"32,760",(Blank),(Blank),(Blank),"32,760"
Sudan,SII - Covishield,(Blank),(Blank),"828,000",(Blank),"828,000"
Sudan,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"250,000",(Blank),(Blank),"250,000"
Belarus,Unknown,(Blank),(Blank),(Blank),"558,413","558,413"
Belarus,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"410,000",(Blank),(Blank),"410,000"
Belarus,Gamaleya - Sputnik V,"100,000",(Blank),(Blank),(Blank),"100,000"
Senegal,Sinopharm (Beijing) - BBIBP-CorV,"200,000","300,000",(Blank),(Blank),"500,000"
Senegal,SII - Covishield,(Blank),"25,000","324,000",(Blank),"349,000"
Senegal,AstraZeneca - Vaxzevria,(Blank),(Blank),"184,800",(Blank),"184,800"
Republic of Moldova,AstraZeneca - Vaxzevria,(Blank),"273,600","108,000",(Blank),"381,600"
Republic of Moldova,Unknown,(Blank),(Blank),(Blank),"371,863","371,863"
Republic of Moldova,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"125,190",(Blank),"125,190"
Republic of Moldova,Gamaleya - Sputnik V,(Blank),"101,000",(Blank),(Blank),"101,000"
Paraguay,Unknown,(Blank),(Blank),(Blank),"436,351","436,351"
Paraguay,AstraZeneca - Vaxzevria,(Blank),(Blank),"304,800",(Blank),"304,800"
Paraguay,Gamaleya - Sputnik V,"204,000",(Blank),(Blank),(Blank),"204,000"
Paraguay,Sinovac - CoronaVac,(Blank),"20,000",(Blank),(Blank),"20,000"
Costa Rica,Pfizer BioNTech - Comirnaty,"564,525",(Blank),"40,950",(Blank),"605,475"
Costa Rica,AstraZeneca - Vaxzevria,"204,000",(Blank),"132,000",(Blank),"336,000"
North Macedonia,Sinovac - CoronaVac,"500,000","30,000",(Blank),(Blank),"530,000"
North Macedonia,Sinopharm (Beijing) - BBIBP-CorV,"200,000",(Blank),(Blank),(Blank),"200,000"
North Macedonia,Pfizer BioNTech - Comirnaty,"10,530","4,680","100,620",(Blank),"115,830"
North Macedonia,AstraZeneca - Vaxzevria,(Blank),(Blank),"62,400",(Blank),"62,400"
North Macedonia,Gamaleya - Sputnik V,"6,000","20,000",(Blank),(Blank),"26,000"
Mozambique,SII - Covishield,(Blank),"100,000","384,000",(Blank),"484,000"
Mozambique,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"260,000",(Blank),(Blank),"260,000"
Mozambique,AstraZeneca - Vaxzevria,(Blank),(Blank),"108,000",(Blank),"108,000"
Malawi,SII - Covishield,(Blank),"66,000","360,000",(Blank),"426,000"
Malawi,Unknown,(Blank),(Blank),(Blank),"362,407","362,407"
Niger,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"400,000",(Blank),(Blank),"400,000"
Niger,SII - Covishield,(Blank),"25,000","355,200",(Blank),"380,200"
Mauritius,Bharat - Covaxin,"200,000",(Blank),(Blank),(Blank),"200,000"
Mauritius,SII - Covishield,"100,000","100,000",(Blank),(Blank),"200,000"
Mauritius,Unknown,(Blank),(Blank),(Blank),"146,948","146,948"
Mauritius,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"100,000",(Blank),(Blank),"100,000"
Mauritius,AstraZeneca - Vaxzevria,(Blank),(Blank),"62,400",(Blank),"62,400"
Mauritius,Gamaleya - Sputnik V,"60,000",(Blank),(Blank),(Blank),"60,000"
Guinea,Sinovac - CoronaVac,"300,000",(Blank),(Blank),(Blank),"300,000"
Guinea,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"200,000",(Blank),(Blank),"200,000"
Guinea,SII - Covishield,(Blank),(Blank),"194,400",(Blank),"194,400"
Guinea,Gamaleya - Sputnik V,"40,000",(Blank),(Blank),(Blank),"40,000"
Luxembourg,Pfizer BioNTech - Comirnaty,"450,180",(Blank),(Blank),(Blank),"450,180"
Luxembourg,AstraZeneca - Vaxzevria,"148,700",(Blank),(Blank),(Blank),"148,700"
Luxembourg,Moderna - mRNA-1273,"62,400",(Blank),(Blank),(Blank),"62,400"
Luxembourg,Janssen - Ad26.COV 2.S,"29,800",(Blank),(Blank),(Blank),"29,800"
Malta,Unknown,(Blank),(Blank),(Blank),"685,024","685,024"
Libya,Gamaleya - Sputnik V,"201,250","101,250",(Blank),(Blank),"302,500"
Libya,AstraZeneca - Vaxzevria,(Blank),(Blank),"175,200",(Blank),"175,200"
Libya,Sinovac - CoronaVac,(Blank),"150,000",(Blank),(Blank),"150,000"
Libya,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"54,990",(Blank),"54,990"
Bosnia and Herzegovina,Unknown,(Blank),(Blank),(Blank),"336,521","336,521"
Bosnia and Herzegovina,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"124,020",(Blank),"124,020"
Bosnia and Herzegovina,AstraZeneca - Vaxzevria,(Blank),(Blank),"67,200",(Blank),"67,200"
Bosnia and Herzegovina,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"50,000",(Blank),(Blank),"50,000"
Bosnia and Herzegovina,Sinovac - CoronaVac,(Blank),"40,000",(Blank),(Blank),"40,000"
Bosnia and Herzegovina,Gamaleya - Sputnik V,"20,000","10,000",(Blank),(Blank),"30,000"
Somalia,SII - Covishield,(Blank),(Blank),"300,000",(Blank),"300,000"
Somalia,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"200,000",(Blank),(Blank),"200,000"
Somalia,AstraZeneca - Vaxzevria,(Blank),(Blank),"108,000",(Blank),"108,000"
Togo,SII - Covishield,(Blank),(Blank),"296,000",(Blank),"296,000"
Togo,Sinovac - CoronaVac,(Blank),"200,000",(Blank),(Blank),"200,000"
Togo,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Cameroon,SII - Covishield,(Blank),(Blank),"391,200",(Blank),"391,200"
Cameroon,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"200,000",(Blank),(Blank),"200,000"
Bhutan,SII - Covishield,(Blank),"550,000",(Blank),(Blank),"550,000"
Bhutan,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"5,850",(Blank),"5,850"
Georgia,Unknown,(Blank),(Blank),(Blank),"163,857","163,857"
Georgia,AstraZeneca - Vaxzevria,(Blank),(Blank),"129,600",(Blank),"129,600"
Georgia,Sinopharm (Beijing) - BBIBP-CorV,"100,000",(Blank),(Blank),(Blank),"100,000"
Georgia,Sinovac - CoronaVac,(Blank),"100,000",(Blank),(Blank),"100,000"
Georgia,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"30,420",(Blank),"30,420"
Georgia,Gamaleya - Sputnik V,(Blank),"6,500",(Blank),(Blank),"6,500"
Maldives,SII - Covishield,(Blank),"200,000","12,000",(Blank),"212,000"
Maldives,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"200,000",(Blank),(Blank),"200,000"
Maldives,Unknown,(Blank),(Blank),(Blank),"109,637","109,637"
Maldives,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"5,850",(Blank),"5,850"
Panama,Pfizer BioNTech - Comirnaty,"358,960",(Blank),(Blank),(Blank),"358,960"
Panama,AstraZeneca - Vaxzevria,(Blank),(Blank),"110,400",(Blank),"110,400"
Panama,Gamaleya - Sputnik V,"40,950",(Blank),(Blank),(Blank),"40,950"
Zambia,AstraZeneca - Vaxzevria,(Blank),(Blank),"228,000",(Blank),"228,000"
Zambia,SII - Covishield,(Blank),(Blank),"228,000",(Blank),"228,000"
Madagascar,SII - Covishield,(Blank),(Blank),"250,000",(Blank),"250,000"
Madagascar,Unknown,(Blank),(Blank),(Blank),"197,001","197,001"
Benin,Sinovac - CoronaVac,"203,000","100,000",(Blank),(Blank),"303,000"
Benin,SII - Covishield,(Blank),(Blank),"144,000",(Blank),"144,000"
Iceland,Pfizer BioNTech - Comirnaty,"250,350",(Blank),(Blank),(Blank),"250,350"
Iceland,AstraZeneca - Vaxzevria,"93,680",(Blank),(Blank),(Blank),"93,680"
Iceland,Janssen - Ad26.COV 2.S,"50,300",(Blank),(Blank),(Blank),"50,300"
Iceland,Moderna - mRNA-1273,"36,020",(Blank),(Blank),(Blank),"36,020"
Iceland,Unknown,(Blank),(Blank),(Blank),"5,023","5,023"
Trinidad and Tobago,Sinopharm (Beijing) - BBIBP-CorV,"200,000","100,000",(Blank),(Blank),"300,000"
Trinidad and Tobago,AstraZeneca - Vaxzevria,(Blank),(Blank),"67,200",(Blank),"67,200"
Trinidad and Tobago,SII - Covishield,(Blank),"40,000",(Blank),(Blank),"40,000"
Trinidad and Tobago,Vaxzevria,(Blank),"19,000",(Blank),(Blank),"19,000"
Tajikistan,Unknown,(Blank),(Blank),(Blank),"223,648","223,648"
Tajikistan,SII - Covishield,(Blank),(Blank),"192,000",(Blank),"192,000"
Syrian Arab Republic,SII - Covishield,(Blank),(Blank),"256,800",(Blank),"256,800"
Syrian Arab Republic,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"150,000",(Blank),(Blank),"150,000"
Syrian Arab Republic,Gamaleya - Sputnik V,(Blank),"5,000",(Blank),(Blank),"5,000"
Mali,SII - Covishield,(Blank),(Blank),"396,000",(Blank),"396,000"
Fiji,Unknown,(Blank),(Blank),(Blank),"312,299","312,299"
Fiji,AstraZeneca - Vaxzevria,(Blank),"10,000","60,000",(Blank),"70,000"
"China, Macao SAR",Unknown,(Blank),(Blank),(Blank),"273,898","273,898"
"China, Macao SAR",Sinopharm (Beijing) - BBIBP-CorV,"100,000",(Blank),(Blank),(Blank),"100,000"
Guyana,Gamaleya - Sputnik V,"197,537",(Blank),(Blank),(Blank),"197,537"
Guyana,SII - Covishield,(Blank),"83,000",(Blank),(Blank),"83,000"
Guyana,AstraZeneca - Vaxzevria,(Blank),(Blank),"62,400",(Blank),"62,400"
Guyana,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"20,000",(Blank),(Blank),"20,000"
Yemen,SII - Covishield,(Blank),(Blank),"360,000",(Blank),"360,000"
Timor-Leste,AstraZeneca - Vaxzevria,(Blank),"20,000","124,800",(Blank),"144,800"
Timor-Leste,Unknown,(Blank),(Blank),(Blank),"108,766","108,766"
Timor-Leste,Sinovac - CoronaVac,(Blank),"100,000",(Blank),(Blank),"100,000"
Montenegro,Unknown,(Blank),(Blank),(Blank),"262,306","262,306"
Montenegro,AstraZeneca - Vaxzevria,(Blank),(Blank),"48,000",(Blank),"48,000"
Montenegro,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"30,000",(Blank),(Blank),"30,000"
Montenegro,Gamaleya - Sputnik V,(Blank),"2,000",(Blank),(Blank),"2,000"
Nicaragua,SII - Covishield,(Blank),"200,000","135,000",(Blank),"335,000"
Djibouti,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"200,000",(Blank),(Blank),"200,000"
Djibouti,Sinovac - CoronaVac,"100,000",(Blank),(Blank),(Blank),"100,000"
Djibouti,SII - Covishield,(Blank),(Blank),"24,000",(Blank),"24,000"
Congo (DRC),SII - Covishield,(Blank),"50,000","271,000",(Blank),"321,000"
Jamaica,AstraZeneca - Vaxzevria,(Blank),"65,000","124,800",(Blank),"189,800"
Jamaica,SII - Covishield,(Blank),"125,000",(Blank),(Blank),"125,000"
Botswana,Sinovac - CoronaVac,(Blank),"200,000",(Blank),(Blank),"200,000"
Botswana,AstraZeneca - Vaxzevria,(Blank),(Blank),"62,400",(Blank),"62,400"
Botswana,Bharat - Covaxin,(Blank),"30,000",(Blank),(Blank),"30,000"
Botswana,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"19,890",(Blank),"19,890"
Chad,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"200,000",(Blank),(Blank),"200,000"
Chad,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Equatorial Guinea,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"300,000",(Blank),(Blank),"300,000"
Hong Kong SAR and Macao,Pfizer BioNTech - Comirnaty,"300,000",(Blank),(Blank),(Blank),"300,000"
Papua New Guinea,AstraZeneca - Vaxzevria,(Blank),"18,480","146,400",(Blank),"164,880"
Papua New Guinea,SII - Covishield,(Blank),(Blank),"132,000",(Blank),"132,000"
Sierra Leone,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"200,000",(Blank),(Blank),"200,000"
Sierra Leone,SII - Covishield,(Blank),(Blank),"96,000",(Blank),"96,000"
Kyrgyzstan,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"150,000",(Blank),(Blank),"150,000"
Kyrgyzstan,Gamaleya - Sputnik V,"80,000","40,000",(Blank),(Blank),"120,000"
Suriname,Unknown,(Blank),(Blank),(Blank),"152,764","152,764"
Suriname,AstraZeneca - Vaxzevria,(Blank),(Blank),"52,800",(Blank),"52,800"
Suriname,SII - Covishield,(Blank),"50,000",(Blank),(Blank),"50,000"
Mauritania,AstraZeneca - Vaxzevria,(Blank),(Blank),"105,600",(Blank),"105,600"
Mauritania,SII - Covishield,(Blank),(Blank),"69,600",(Blank),"69,600"
Mauritania,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"50,000",(Blank),(Blank),"50,000"
Mauritania,Pfizer BioNTech - Comirnaty,(Blank),"5,000",(Blank),(Blank),"5,000"
Barbados,SII - Covishield,(Blank),"100,000",(Blank),(Blank),"100,000"
Barbados,AstraZeneca - Vaxzevria,(Blank),(Blank),"67,200",(Blank),"67,200"
Barbados,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"30,000",(Blank),(Blank),"30,000"
Namibia,Sinovac - CoronaVac,(Blank),"100,000",(Blank),(Blank),"100,000"
Namibia,AstraZeneca - Vaxzevria,(Blank),(Blank),"67,200",(Blank),"67,200"
Namibia,SII - Covishield,(Blank),"30,000",(Blank),(Blank),"30,000"
Belize,Unknown,(Blank),(Blank),(Blank),"88,902","88,902"
Belize,AstraZeneca - Vaxzevria,(Blank),(Blank),"67,200",(Blank),"67,200"
Belize,Bharat - Covaxin,(Blank),"25,000",(Blank),(Blank),"25,000"
Belize,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"10,000",(Blank),(Blank),"10,000"
Brunei Darussalam,AstraZeneca - Vaxzevria,(Blank),(Blank),"62,400",(Blank),"62,400"
Brunei Darussalam,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"52,000",(Blank),(Blank),"52,000"
Brunei Darussalam,Moderna - mRNA-1273,"50,400",(Blank),(Blank),(Blank),"50,400"
Bahamas,Unknown,(Blank),(Blank),(Blank),"75,992","75,992"
Bahamas,AstraZeneca - Vaxzevria,(Blank),(Blank),"67,200",(Blank),"67,200"
Bahamas,SII - Covishield,(Blank),"20,000",(Blank),(Blank),"20,000"
Kosovo,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"100,620",(Blank),"100,620"
Kosovo,AstraZeneca - Vaxzevria,(Blank),(Blank),"62,400",(Blank),"62,400"
Cabo Verde,Unknown,(Blank),(Blank),(Blank),"99,686","99,686"
Cabo Verde,AstraZeneca - Vaxzevria,(Blank),(Blank),"31,200",(Blank),"31,200"
Cabo Verde,SII - Covishield,(Blank),(Blank),"24,000",(Blank),"24,000"
Cabo Verde,Pfizer BioNTech - Comirnaty,(Blank),(Blank),"5,850",(Blank),"5,850"
Central African Republic,SII - Covishield,(Blank),(Blank),"80,000",(Blank),"80,000"
Central African Republic,Unknown,(Blank),(Blank),(Blank),"78,685","78,685"
Burkina Faso,AstraZeneca - Vaxzevria,(Blank),(Blank),"115,200",(Blank),"115,200"
Burkina Faso,Unknown,(Blank),(Blank),(Blank),"25,833","25,833"
Seychelles,SII - Covishield,(Blank),"50,000",(Blank),(Blank),"50,000"
Seychelles,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"50,000",(Blank),(Blank),"50,000"
Seychelles,Unknown,(Blank),(Blank),(Blank),"38,581","38,581"
French Polynesia,Unknown,(Blank),(Blank),(Blank),"132,540","132,540"
Aruba,Unknown,(Blank),(Blank),(Blank),"128,575","128,575"
Lesotho,Unknown,(Blank),(Blank),(Blank),"56,322","56,322"
Lesotho,AstraZeneca - Vaxzevria,(Blank),(Blank),"36,000",(Blank),"36,000"
Lesotho,SII - Covishield,(Blank),(Blank),"36,000",(Blank),"36,000"
Liberia,SII - Covishield,(Blank),"27,000","96,000",(Blank),"123,000"
South Sudan,SII - Covishield,(Blank),"59,000","60,000",(Blank),"119,000"
the republic of the Congo,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"100,000",(Blank),(Blank),"100,000"
the republic of the Congo,Unknown,(Blank),(Blank),(Blank),"16,110","16,110"
New Caledonia,Unknown,(Blank),(Blank),(Blank),"111,259","111,259"
Samoa,Unknown,(Blank),(Blank),(Blank),"54,663","54,663"
Samoa,AstraZeneca - Vaxzevria,(Blank),(Blank),"52,800",(Blank),"52,800"
Antigua and Barbuda,AstraZeneca - Vaxzevria,(Blank),(Blank),"40,800",(Blank),"40,800"
Antigua and Barbuda,SII - Covishield,(Blank),"40,000",(Blank),(Blank),"40,000"
Antigua and Barbuda,Unknown,(Blank),(Blank),(Blank),"24,455","24,455"
Armenia,AstraZeneca - Vaxzevria,(Blank),(Blank),"74,400",(Blank),"74,400"
Armenia,Gamaleya - Sputnik V,"29,000",(Blank),(Blank),(Blank),"29,000"
Comoros,Unknown,(Blank),(Blank),(Blank),"90,880","90,880"
Comoros,SII - Covishield,(Blank),(Blank),"12,000",(Blank),"12,000"
Solomon Islands,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"50,000",(Blank),(Blank),"50,000"
Solomon Islands,AstraZeneca - Vaxzevria,(Blank),(Blank),"28,800",(Blank),"28,800"
Solomon Islands,SII - Covishield,(Blank),(Blank),"24,000",(Blank),"24,000"
Gabon,Sinopharm (Beijing) - BBIBP-CorV,(Blank),"100,000",(Blank),(Blank),"100,000"
Dominica,SII - Covishield,(Blank),"70,000",(Blank),(Blank),"70,000"
Dominica,AstraZeneca - Vaxzevria,(Blank),(Blank),"28,800",(Blank),"28,800"
Andorra,Unknown,(Blank),(Blank),(Blank),"68,329","68,329"
Andorra,AstraZeneca - Vaxzevria,(Blank),(Blank),"26,400",(Blank),"26,400"
Cayman Islands,Unknown,(Blank),(Blank),(Blank),"93,748","93,748"
